0
32
32
16
8
0,0,0,0,0,0,0,116,117,118,0,0,0,0,0,0,
0,0,0,0,0,0,0,132,133,134,0,0,0,0,0,0,
0,0,0,0,0,0,0,148,149,150,2,0,0,0,0,0,
0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,
0,0,2,0,0,2,0,116,117,118,2,0,0,0,0,0,
0,0,0,0,0,0,0,132,133,134,0,0,0,0,0,0,
0,0,0,2,0,0,0,148,149,150,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,128,129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,144,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
128,129,-1,-1,128,129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
144,145,-1,-1,144,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
